route_id,from_city,to_city,date,provider,train_name,train_type,departure_station,arrival_station,departure_time,arrival_time,duration,journey_type,connection_city,connection_wait,available_seats,total_seats,base_price,senior_price,youth_price,child_price,currency,class_options,wifi,power_socket,meal_service,baggage_rule,refund_rule,change_policy,pet_policy,platform_info,boarding_requirement,carbon_kg,delay_minutes,status
ER0066,London,Paris,2026-05-17,Eurostar,Eurostar 6221,Intercity,London St Pancras,Paris Montparnasse,11:15,18:28,7h 13m,Connection,Berlin,75m,39,500,90,76,79,44,EUR,Standard;Comfort,No,No,Yes,2 bags + 1 cabin bag,Refundable depending on fare,Free change,Pets not allowed,Announced 15 min before,Arrive 60 min early,12,0,Available
ER0067,Geneva,Paris,2026-05-16,SNCF,TGV INOUI 9255,International,Geneva Cornavin,Paris Gare de l'Est,05:30,09:05,3h 35m,Connection,Brussels,30m,109,250,45,36,34,28,EUR,Standard;First Class,Yes,No,Cafe bar,2 bags + 1 cabin bag,Refundable depending on fare,Flexible fare available,Pets not allowed,Announced 20 min before,Arrive 60 min early,28,45,Available
ER0068,Paris,Berlin,2026-05-20,SNCF,TER 2043,Intercity,Paris Gare du Nord,Berlin Ostbahnhof,21:10,04:07,6h 57m,Connection,Lyon,45m,159,420,201,156,157,108,EUR,Standard;First Class,Yes,No,No,2 bags allowed,Refundable with fee,Change with fee,Pets allowed,Announced 15 min before,Arrive 15 min early,32,0,Available
ER0069,Munich,Vienna,2026-05-20,ÖBB,Railjet 824,Intercity,München Hbf,Wien Hbf,12:40,15:56,3h 16m,Connection,Lyon,35m,8,500,110,89,95,67,EUR,Economy;Business,Limited,Limited,Business only,2 bags allowed,Refundable with fee,No change allowed,Pets not allowed,Announced 15 min before,Arrive 30 min early,28,0,Limited
ER0070,Vienna,Prague,2026-05-15,ÖBB,Railjet 5013,Regional,Wien Hbf,Praha hlavní nádraží,20:15,04:54,8h 39m,Direct,None,None,257,634,108,84,87,60,EUR,Economy;Business,Yes,Yes,Snack service,1 cabin bag included,Refundable up to 24h,Change with fee,Pets allowed,Announced 20 min before,Arrive 60 min early,6,0,Available
ER0071,Paris,Amsterdam,2026-05-13,Eurostar,Eurostar 3522,Night Train,Paris Gare de l'Est,Amsterdam Centraal,05:15,08:17,3h 02m,Connection,Frankfurt,75m,72,300,130,112,108,78,EUR,Standard;Comfort,Yes,Limited,Business only,Large baggage chargeable,Refundable depending on fare,Free change,Pets not allowed,Announced 20 min before,Arrive 20 min early,27,0,Available
ER0072,Amsterdam,Berlin,2026-05-16,DB,EC 3725,Regional,Amsterdam Centraal,Berlin Hbf,13:40,20:04,6h 24m,Direct,None,None,70,420,157,122,137,86,EUR,Standard;Comfort,Limited,No,Snack service,2 bags + 1 cabin bag,Non-refundable,Change with fee,Small pets allowed,Announced 30 min before,Arrive 60 min early,15,5,Available
ER0073,Vienna,Munich,2026-05-20,ÖBB,Railjet 1317,International,Wien Hbf,München Hbf,18:10,02:46,8h 36m,Direct,None,None,21,250,146,115,110,84,EUR,Second Class;First Class,Yes,Yes,No,Large baggage chargeable,Refundable up to 24h,Free change,Guide dogs only,Announced 30 min before,Arrive 30 min early,5,30,Available
ER0074,Geneva,Paris,2026-05-23,SNCF,OUIGO 1853,Regional,Geneva Cornavin,Paris Gare du Nord,12:15,18:57,6h 42m,Direct,None,None,121,380,102,89,83,50,EUR,Standard;First Class,Yes,Yes,Snack service,Large baggage chargeable,Refundable depending on fare,No change allowed,Pets allowed,Announced 30 min before,Arrive 15 min early,14,10,Available
ER0075,Paris,Berlin,2026-05-17,Eurostar,Eurostar 8753,International,Paris Gare de Lyon,Berlin Hbf,11:55,19:56,8h 01m,Direct,None,None,55,250,78,67,62,50,EUR,Standard;First Class,Yes,Yes,No,2 bags + 1 cabin bag,Refundable depending on fare,Flexible fare available,Pets not allowed,Announced 30 min before,Arrive 20 min early,9,5,Available
ER0076,Geneva,Paris,2026-05-21,SNCF,TGV INOUI 1700,Night Train,Geneva Cornavin,Paris Gare du Nord,07:25,13:59,6h 34m,Connection,Zurich,50m,120,250,205,155,170,107,EUR,Second Class;First Class,Yes,Limited,Cafe bar,2 bags allowed,Refundable up to 24h,Flexible fare available,Small pets allowed,Announced 20 min before,Arrive 20 min early,28,0,Available
ER0077,Amsterdam,Berlin,2026-05-15,DB,ICE 185,Regional,Amsterdam Centraal,Berlin Ostbahnhof,16:20,18:37,2h 17m,Direct,None,None,124,300,55,39,44,25,EUR,Second Class;First Class,Yes,Limited,Snack service,Large baggage chargeable,Refundable up to 24h,Change with fee,Small pets allowed,Announced 30 min before,Arrive 60 min early,14,5,Available
ER0078,London,Paris,2026-05-14,Eurostar,Eurostar 8179,Night Train,London St Pancras,Paris Gare de Lyon,10:30,14:16,3h 46m,Direct,None,None,0,420,121,91,95,69,EUR,Economy;Business,Limited,Yes,Cafe bar,1 cabin bag included,Refundable up to 24h,No change allowed,Guide dogs only,Announced 30 min before,Arrive 60 min early,25,0,Sold Out
ER0079,Milan,Vienna,2026-05-15,SBB,IR 2330,Night Train,Milano Centrale,Wien Hbf,11:35,18:20,6h 45m,Connection,Barcelona,45m,271,634,141,110,123,74,EUR,Economy;Business,No,Yes,No,2 bags allowed,Refundable depending on fare,Change with fee,Pets not allowed,Announced 20 min before,Arrive 15 min early,30,0,Available
ER0080,Geneva,Lyon,2026-05-12,SNCF,OUIGO 4239,Night Train,Geneva Cornavin,Lyon Perrache,17:05,22:19,5h 14m,Connection,Nice,60m,242,500,136,109,118,70,EUR,Standard;First Class,Yes,Yes,Business only,2 bags + 1 cabin bag,Refundable up to 24h,No change allowed,Guide dogs only,Announced 20 min before,Arrive 15 min early,4,20,Available
ER0081,Paris,Frankfurt,2026-05-14,SNCF+DB,TER 6508,Intercity,Paris Montparnasse,Frankfurt Hbf,16:00,21:32,5h 32m,Direct,None,None,3,420,58,49,49,30,EUR,Second Class;First Class,Yes,No,Yes,Large baggage chargeable,Refundable depending on fare,Flexible fare available,Pets allowed,Announced 20 min before,Arrive 15 min early,11,0,Limited
ER0082,Paris,Marseille,2026-05-23,SNCF,TGV INOUI 2792,Intercity,Paris Gare du Nord,Marseille Saint-Charles,10:25,16:36,6h 11m,Direct,None,None,123,420,117,96,95,53,EUR,Second Class;First Class,No,No,Snack service,2 bags allowed,Refundable with fee,Change with fee,Guide dogs only,Announced 30 min before,Arrive 15 min early,10,5,Available
ER0083,Vienna,Munich,2026-05-12,ÖBB,Nightjet 3328,Regional,Wien Hbf,München Hbf,13:50,19:25,5h 35m,Direct,None,None,218,634,129,104,103,79,EUR,Standard;First Class,Yes,Limited,Yes,2 bags + 1 cabin bag,Non-refundable,Free change,Small pets allowed,Announced 20 min before,Arrive 20 min early,36,5,Available
ER0084,Barcelona,Lyon,2026-05-16,SNCF,Intercités 7031,International,Barcelona Sants,Lyon Perrache,10:40,13:30,2h 50m,Direct,None,None,135,300,42,36,37,22,EUR,Second Class;First Class,Limited,No,Snack service,Large baggage chargeable,Refundable depending on fare,Change with fee,Pets allowed,Announced 30 min before,Arrive 15 min early,18,0,Available
ER0085,Frankfurt,Vienna,2026-05-10,DB+ÖBB,IC 9367,Intercity,Frankfurt Hbf,Wien Hbf,08:20,16:21,8h 01m,Direct,None,None,30,380,205,154,166,122,EUR,Standard;Comfort,Yes,No,Business only,1 cabin bag included,Refundable up to 24h,No change allowed,Pets allowed,Announced 15 min before,Arrive 20 min early,26,5,Available
ER0086,Munich,Zurich,2026-05-20,DB,ICE 3490,Intercity,München Hbf,Zurich HB,13:45,19:45,6h 00m,Direct,None,None,313,634,97,84,80,61,EUR,Second Class;First Class,Yes,Limited,Cafe bar,2 bags + 1 cabin bag,Refundable with fee,Change with fee,Guide dogs only,Announced 15 min before,Arrive 60 min early,35,15,Available
ER0087,London,Brussels,2026-05-19,Eurostar,Eurostar 6246,High-Speed,London St Pancras,Brussels Midi,07:30,13:18,5h 48m,Connection,Zurich,75m,20,420,52,43,42,30,EUR,Second Class;First Class,Yes,No,Cafe bar,Large baggage chargeable,Non-refundable,Flexible fare available,Guide dogs only,Announced 20 min before,Arrive 20 min early,35,0,Available
ER0088,Amsterdam,Paris,2026-05-24,Eurostar,Eurostar 1731,High-Speed,Amsterdam Centraal,Paris Gare de Lyon,08:10,13:20,5h 10m,Direct,None,None,196,420,62,53,49,38,EUR,Standard;Comfort,Yes,Yes,Business only,2 bags + 1 cabin bag,Refundable up to 24h,No change allowed,Guide dogs only,Announced 30 min before,Arrive 20 min early,31,20,Available
ER0089,Paris,Berlin,2026-05-21,SNCF+DB,TGV INOUI 2274,International,Paris Gare du Nord,Berlin Ostbahnhof,05:00,12:27,7h 27m,Connection,Prague,35m,118,420,127,107,97,66,EUR,Economy;Business,Yes,Yes,No,2 bags allowed,Refundable with fee,No change allowed,Guide dogs only,Announced 30 min before,Arrive 20 min early,13,0,Available
ER0090,Milan,Zurich,2026-05-19,SBB,InterCity 1520,Regional,Milano Centrale,Zurich HB,08:45,16:23,7h 38m,Direct,None,None,55,420,139,114,109,79,EUR,Standard;First Class,Yes,Yes,No,2 bags + 1 cabin bag,Refundable depending on fare,Flexible fare available,Pets allowed,Announced 15 min before,Arrive 60 min early,28,10,Available
ER0091,Paris,Barcelona,2026-05-13,SNCF,TGV INOUI 8755,Regional,Paris Gare de Lyon,Barcelona Sants,15:10,19:53,4h 43m,Connection,Prague,50m,215,500,149,130,128,67,EUR,Economy;Business,Yes,Yes,Snack service,1 cabin bag included,Refundable depending on fare,No change allowed,Pets not allowed,Announced 15 min before,Arrive 20 min early,21,0,Available
ER0092,Paris,Berlin,2026-05-14,SNCF+DB,TER 6501,High-Speed,Paris Gare de Lyon,Berlin Ostbahnhof,18:55,01:56,7h 01m,Direct,None,None,4,250,214,174,170,128,EUR,Standard;First Class,Yes,Yes,Cafe bar,Large baggage chargeable,Non-refundable,Flexible fare available,Small pets allowed,Announced 20 min before,Arrive 20 min early,21,10,Limited
ER0093,Paris,Barcelona,2026-05-22,SNCF,TER 7134,Night Train,Paris Gare de l'Est,Barcelona Sants,13:55,20:15,6h 20m,Direct,None,None,112,420,104,89,80,50,EUR,Standard;First Class,Yes,Yes,Yes,2 bags allowed,Refundable with fee,Free change,Pets not allowed,Announced 20 min before,Arrive 60 min early,13,15,Available
ER0094,Berlin,Amsterdam,2026-05-24,DB,EC 6970,International,Berlin Hbf,Amsterdam Centraal,12:30,20:03,7h 33m,Direct,None,None,35,250,230,198,178,140,EUR,Standard;First Class,Limited,Limited,Business only,1 cabin bag included,Refundable up to 24h,No change allowed,Pets allowed,Announced 20 min before,Arrive 20 min early,22,45,Available
ER0095,Prague,Berlin,2026-05-22,CD+DB,EuroCity 9794,Regional,Praha hlavní nádraží,Berlin Hbf,12:10,13:38,1h 28m,Connection,Paris,40m,234,500,31,27,23,18,EUR,Standard;First Class,Yes,Yes,Snack service,Large baggage chargeable,Refundable up to 24h,Change with fee,Guide dogs only,Announced 15 min before,Arrive 15 min early,18,15,Available
ER0096,Vienna,Prague,2026-05-16,ÖBB,Nightjet 1491,Regional,Wien Hbf,Praha hlavní nádraží,17:05,23:33,6h 28m,Direct,None,None,53,420,137,104,109,83,EUR,Standard;Comfort,Limited,Limited,Cafe bar,2 bags allowed,Refundable with fee,Change with fee,Pets allowed,Announced 15 min before,Arrive 15 min early,14,10,Available
ER0097,Milan,Vienna,2026-05-17,Trenitalia+ÖBB,Frecciarossa 7504,Night Train,Milano Centrale,Wien Hbf,13:05,19:45,6h 40m,Connection,Madrid,20m,0,300,151,110,118,78,EUR,Standard;First Class,Yes,Limited,Cafe bar,2 bags allowed,Refundable depending on fare,No change allowed,Small pets allowed,Announced 15 min before,Arrive 60 min early,10,0,Cancelled
ER0098,London,Paris,2026-05-11,Eurostar,Eurostar 3741,High-Speed,London St Pancras,Paris Gare du Nord,17:25,00:41,7h 16m,Direct,None,None,152,634,79,69,61,45,EUR,Standard;Comfort,Yes,Yes,Snack service,2 bags allowed,Refundable with fee,No change allowed,Pets not allowed,Announced 20 min before,Arrive 15 min early,28,15,Available
ER0099,Milan,Rome,2026-05-12,Italo,Italo 3166,Intercity,Milano Centrale,Roma Termini,19:10,20:52,1h 42m,Direct,None,None,95,500,156,122,129,72,EUR,Second Class;First Class,Yes,Yes,No,2 bags allowed,Refundable depending on fare,Flexible fare available,Pets not allowed,Announced 30 min before,Arrive 60 min early,26,0,Available
ER0100,Prague,Berlin,2026-05-18,RegioJet+DB,RegioJet 5324,High-Speed,Praha hlavní nádraží,Berlin Hbf,13:00,21:19,8h 19m,Connection,Cologne,50m,6,500,99,81,78,60,EUR,Economy;Business,No,No,Business only,2 bags + 1 cabin bag,Refundable with fee,Change with fee,Guide dogs only,Announced 30 min before,Arrive 30 min early,5,20,Limited
ER0101,Madrid,Barcelona,2026-05-19,Renfe,Alvia 3184,Intercity,Madrid Atocha,Barcelona Sants,10:35,12:11,1h 36m,Direct,None,None,154,500,151,108,134,74,EUR,Standard;Comfort,Yes,Yes,Cafe bar,2 bags + 1 cabin bag,Refundable up to 24h,Flexible fare available,Pets allowed,Announced 20 min before,Arrive 60 min early,10,0,Available
ER0102,Amsterdam,Paris,2026-05-14,Eurostar,Eurostar 2680,Night Train,Amsterdam Centraal,Paris Montparnasse,15:10,22:37,7h 27m,Connection,Zurich,40m,109,634,174,145,138,84,EUR,Second Class;First Class,No,Yes,Cafe bar,1 cabin bag included,Refundable with fee,Free change,Pets not allowed,Announced 15 min before,Arrive 30 min early,8,0,Available
ER0103,Frankfurt,Paris,2026-05-15,DB,EC 1553,Intercity,Frankfurt Hbf,Paris Montparnasse,05:20,08:32,3h 12m,Direct,None,None,120,250,56,46,42,30,EUR,Second Class;First Class,Limited,No,Business only,Large baggage chargeable,Refundable up to 24h,No change allowed,Small pets allowed,Announced 15 min before,Arrive 60 min early,8,0,Available
ER0104,Paris,Nice,2026-05-14,SNCF,TER 4378,Intercity,Paris Gare de Lyon,Nice-Ville,15:10,19:47,4h 37m,Direct,None,None,31,250,115,93,96,62,EUR,Second Class;First Class,Yes,Yes,Yes,1 cabin bag included,Refundable with fee,Change with fee,Pets not allowed,Announced 30 min before,Arrive 30 min early,22,0,Available
ER0105,Amsterdam,Brussels,2026-05-13,Eurostar,Eurostar 6537,International,Amsterdam Centraal,Brussels Midi,06:25,08:44,2h 19m,Direct,None,None,265,634,80,58,62,46,EUR,Standard;First Class,Yes,No,Snack service,Large baggage chargeable,Non-refundable,Free change,Pets not allowed,Announced 15 min before,Arrive 30 min early,28,45,Available
ER0106,Barcelona,Paris,2026-05-12,SNCF,TGV INOUI 4413,Intercity,Barcelona Sants,Paris Montparnasse,13:15,21:48,8h 33m,Direct,None,None,109,250,88,72,76,46,EUR,Standard;First Class,Limited,No,No,Large baggage chargeable,Refundable with fee,No change allowed,Guide dogs only,Announced 15 min before,Arrive 60 min early,6,10,Available
ER0107,Geneva,Paris,2026-05-19,SNCF,TGV INOUI 7457,High-Speed,Geneva Cornavin,Paris Gare du Nord,11:15,13:44,2h 29m,Direct,None,None,14,250,80,70,67,49,EUR,Standard;First Class,Limited,No,No,1 cabin bag included,Non-refundable,No change allowed,Pets allowed,Announced 30 min before,Arrive 60 min early,11,0,Limited
ER0108,Milan,Zurich,2026-05-12,SBB,IR 9732,International,Milano Centrale,Zurich HB,08:20,14:19,5h 59m,Connection,Prague,45m,166,420,150,108,118,71,EUR,Standard;First Class,Limited,Limited,Cafe bar,2 bags allowed,Refundable depending on fare,Flexible fare available,Guide dogs only,Announced 15 min before,Arrive 30 min early,23,5,Available
ER0109,Amsterdam,Brussels,2026-05-14,Eurostar,Eurostar 3834,Regional,Amsterdam Centraal,Brussels Midi,19:25,22:23,2h 58m,Direct,None,None,246,634,83,71,67,45,EUR,Standard;First Class,No,Yes,Yes,1 cabin bag included,Refundable depending on fare,Change with fee,Pets allowed,Announced 15 min before,Arrive 20 min early,16,0,Available
ER0110,Paris,Brussels,2026-05-13,Eurostar,Eurostar 928,Night Train,Paris Gare de l'Est,Brussels Midi,13:25,15:49,2h 24m,Direct,None,None,1,634,90,70,75,43,EUR,Standard;Comfort,Yes,Yes,Business only,2 bags allowed,Non-refundable,Free change,Pets not allowed,Announced 15 min before,Arrive 20 min early,17,20,Limited
ER0111,Berlin,Hamburg,2026-05-20,DB,EC 3487,Regional,Berlin Ostbahnhof,Hamburg Hbf,21:00,05:04,8h 04m,Connection,Paris,75m,22,300,132,107,117,78,EUR,Second Class;First Class,Limited,Limited,Snack service,1 cabin bag included,Refundable with fee,No change allowed,Guide dogs only,Announced 30 min before,Arrive 60 min early,10,10,Available
ER0112,Paris,Lyon,2026-05-18,SNCF,TER 4990,Night Train,Paris Gare de Lyon,Lyon Perrache,07:25,10:11,2h 46m,Direct,None,None,186,380,105,78,86,52,EUR,Second Class;First Class,Yes,Yes,Yes,Large baggage chargeable,Non-refundable,Flexible fare available,Pets not allowed,Announced 20 min before,Arrive 60 min early,6,0,Available
ER0113,Prague,Vienna,2026-05-21,CD,EuroCity 3743,Intercity,Praha hlavní nádraží,Wien Hbf,21:20,05:57,8h 37m,Direct,None,None,6,634,140,111,120,83,EUR,Standard;Comfort,Yes,Yes,Business only,2 bags + 1 cabin bag,Non-refundable,No change allowed,Guide dogs only,Announced 20 min before,Arrive 30 min early,22,5,Limited
ER0114,Zurich,Vienna,2026-05-23,SBB+ÖBB,EuroCity 3287,Intercity,Zurich HB,Wien Hbf,21:20,03:33,6h 13m,Connection,Frankfurt,35m,137,300,115,98,89,53,EUR,Standard;Comfort,Yes,Yes,Snack service,1 cabin bag included,Refundable with fee,Change with fee,Small pets allowed,Announced 20 min before,Arrive 15 min early,12,0,Available
ER0115,Munich,Zurich,2026-05-16,ÖBB,Nightjet 7921,Intercity,München Hbf,Zurich HB,06:40,09:47,3h 07m,Connection,Paris,50m,193,500,30,24,23,17,EUR,Standard;First Class,Limited,Limited,Cafe bar,2 bags allowed,Refundable up to 24h,Flexible fare available,Guide dogs only,Announced 20 min before,Arrive 30 min early,31,0,Available
ER0116,London,Paris,2026-05-15,Eurostar,Eurostar 3187,Regional,London St Pancras,Paris Montparnasse,05:15,08:34,3h 19m,Connection,Munich,40m,278,634,72,53,61,43,EUR,Standard;First Class,No,Yes,Yes,2 bags allowed,Refundable up to 24h,Free change,Pets not allowed,Announced 20 min before,Arrive 60 min early,11,0,Available
ER0117,Vienna,Zurich,2026-05-14,ÖBB,Railjet 252,International,Wien Hbf,Zurich HB,08:50,14:41,5h 51m,Direct,None,None,127,500,55,44,46,27,EUR,Economy;Business,No,Yes,Business only,2 bags + 1 cabin bag,Non-refundable,No change allowed,Guide dogs only,Announced 15 min before,Arrive 15 min early,35,15,Available
ER0118,Berlin,Munich,2026-05-21,DB,IC 3942,Regional,Berlin Hbf,München Hbf,07:05,15:37,8h 32m,Direct,None,None,43,420,193,161,147,96,EUR,Standard;Comfort,Limited,Yes,Yes,2 bags + 1 cabin bag,Refundable up to 24h,Flexible fare available,Guide dogs only,Announced 30 min before,Arrive 30 min early,31,0,Available
ER0119,Paris,Barcelona,2026-05-11,SNCF,TGV INOUI 2367,International,Paris Gare du Nord,Barcelona Sants,16:35,23:18,6h 43m,Direct,None,None,195,634,112,87,100,56,EUR,Second Class;First Class,Yes,Yes,Cafe bar,2 bags allowed,Refundable with fee,Free change,Pets not allowed,Announced 30 min before,Arrive 60 min early,32,0,Available
ER0120,Berlin,Amsterdam,2026-05-19,DB,IC 572,Night Train,Berlin Hbf,Amsterdam Centraal,20:05,01:00,4h 55m,Direct,None,None,60,250,32,26,27,19,EUR,Economy;Business,Yes,Yes,Snack service,2 bags + 1 cabin bag,Refundable depending on fare,Flexible fare available,Pets not allowed,Announced 15 min before,Arrive 15 min early,4,5,Available
ER0121,London,Amsterdam,2026-05-18,Eurostar,Eurostar 2809,International,London St Pancras,Amsterdam Centraal,15:15,22:26,7h 11m,Direct,None,None,116,300,214,162,175,130,EUR,Second Class;First Class,Yes,Yes,Snack service,2 bags allowed,Refundable up to 24h,No change allowed,Pets not allowed,Announced 15 min before,Arrive 15 min early,9,0,Available
ER0122,Munich,Vienna,2026-05-19,ÖBB,Railjet 7574,Intercity,München Hbf,Wien Hbf,06:15,14:52,8h 37m,Direct,None,None,0,500,225,185,192,106,EUR,Standard;First Class,Yes,Limited,Business only,1 cabin bag included,Refundable up to 24h,Free change,Small pets allowed,Announced 20 min before,Arrive 20 min early,30,0,Sold Out
ER0123,Paris,Frankfurt,2026-05-14,SNCF,TGV INOUI 6537,Intercity,Paris Gare du Nord,Frankfurt Hbf,11:55,16:13,4h 18m,Direct,None,None,182,420,60,50,49,34,EUR,Second Class;First Class,Yes,Yes,No,Large baggage chargeable,Refundable depending on fare,Change with fee,Small pets allowed,Announced 30 min before,Arrive 20 min early,10,30,Available
ER0124,Barcelona,Lyon,2026-05-20,SNCF,Intercités 6959,Night Train,Barcelona Sants,Lyon Perrache,17:25,21:20,3h 55m,Direct,None,None,96,300,109,90,97,62,EUR,Standard;Comfort,Yes,Yes,Cafe bar,1 cabin bag included,Refundable up to 24h,Flexible fare available,Pets not allowed,Announced 30 min before,Arrive 60 min early,38,0,Available
ER0125,Frankfurt,Vienna,2026-05-24,DB,EC 1844,Regional,Frankfurt Hbf,Wien Hbf,09:00,16:08,7h 08m,Direct,None,None,0,380,118,97,91,54,EUR,Economy;Business,No,Yes,Business only,Large baggage chargeable,Refundable up to 24h,Change with fee,Pets not allowed,Announced 15 min before,Arrive 30 min early,7,0,Sold Out
ER0126,Barcelona,Lyon,2026-05-16,SNCF,TER 9146,High-Speed,Barcelona Sants,Lyon Part-Dieu,13:15,19:57,6h 42m,Connection,Geneva,40m,208,634,158,132,123,85,EUR,Economy;Business,Yes,Yes,Snack service,2 bags allowed,Refundable depending on fare,Flexible fare available,Guide dogs only,Announced 15 min before,Arrive 20 min early,20,45,Available
ER0127,Paris,Lyon,2026-05-15,SNCF,OUIGO 754,Intercity,Paris Gare du Nord,Lyon Perrache,06:50,09:39,2h 49m,Direct,None,None,38,500,110,88,98,60,EUR,Second Class;First Class,No,No,Yes,1 cabin bag included,Refundable with fee,Change with fee,Guide dogs only,Announced 20 min before,Arrive 30 min early,22,15,Available
ER0128,Berlin,Munich,2026-05-22,DB,EC 244,Regional,Berlin Hbf,München Hbf,19:15,02:08,6h 53m,Direct,None,None,30,500,165,142,147,86,EUR,Standard;First Class,No,Limited,No,Large baggage chargeable,Refundable depending on fare,Free change,Guide dogs only,Announced 30 min before,Arrive 20 min early,24,0,Available
ER0129,Geneva,Paris,2026-05-11,SNCF,OUIGO 8914,High-Speed,Geneva Cornavin,Paris Gare de Lyon,11:50,18:37,6h 47m,Connection,Vienna,30m,131,300,124,102,93,73,EUR,Standard;First Class,Yes,Limited,No,2 bags allowed,Refundable with fee,Flexible fare available,Pets not allowed,Announced 20 min before,Arrive 60 min early,29,0,Available
ER0130,Milan,Rome,2026-05-15,Trenitalia,Frecciargento 2038,High-Speed,Milano Centrale,Roma Termini,06:55,15:34,8h 39m,Direct,None,None,221,500,174,127,150,93,EUR,Second Class;First Class,Yes,Yes,Cafe bar,Large baggage chargeable,Non-refundable,Change with fee,Guide dogs only,Announced 30 min before,Arrive 30 min early,4,0,Available
ER0131,Vienna,Zurich,2026-05-23,ÖBB,Railjet 182,Night Train,Wien Hbf,Zurich HB,14:15,22:03,7h 48m,Connection,Rome,40m,17,420,105,78,88,52,EUR,Standard;First Class,No,No,No,2 bags allowed,Non-refundable,Free change,Guide dogs only,Announced 15 min before,Arrive 20 min early,35,0,Limited
ER0132,Amsterdam,Paris,2026-05-15,Eurostar,Eurostar 1739,High-Speed,Amsterdam Centraal,Paris Gare de Lyon,11:25,16:58,5h 33m,Direct,None,None,197,500,68,55,54,34,EUR,Standard;Comfort,Yes,Yes,Snack service,1 cabin bag included,Non-refundable,Change with fee,Guide dogs only,Announced 20 min before,Arrive 60 min early,32,0,Available
